如果她知道我经常批评自己,那么我经常批评我自己。@@@如果她知道我经常批评自己,那么我经常批评她。
如果她知道我把自己的书送给了朋友,那么我把我自己的书送给了朋友。@@@如果她知道我把自己的书送给了朋友,那么我把她的书送给了朋友。
如果她担心我会批评自己,那么我会批评我自己。@@@如果她担心我会批评自己,那么我会批评她。
如果她知道我害了自己,那么我害了我自己。@@@如果她知道我害了自己,那么我害了她。
如果她觉得我对自己没信心,那么我对我自己没信心。@@@如果她觉得我对自己没信心,那么我对她没信心。
如果她认为我的骄傲害了自己,那么我的骄傲害了我自己。@@@如果她认为我的骄傲害了自己,那么我的骄傲害了她。
如果她知道我告诉过她有关自己的工作,那么我告诉过她有关我自己的工作。@@@如果她知道我告诉过她有关自己的工作,那么我告诉过她有关她的工作。
如果她说我跟她谈过自己的事,那么我跟她谈过我自己的事。@@@如果她说我跟她谈过自己的事,那么我跟她谈过她的事。
如果她认为我从她那里听说了自己的分数,那么我从她那里听说了我自己的分数。@@@如果她认为我从她那里听说了自己的分数,那么我从她那里听说了她的分数。
如果她知道我在她家洗自己的照片,那么我在她家洗我自己的照片。@@@如果她知道我在她家洗自己的照片,那么我在她家洗她的照片。
如果她知道我的报告害了自己,那么我的报告害了我自己。@@@如果她知道我的报告害了自己,那么我的报告害了她。
如果她的话暗示我的信害了自己,那么我的信害了我自己。@@@如果她的话暗示我的信害了自己,那么我的信害了她。
如果她认为我恨自己,那么我恨我自己。@@@如果她认为我恨自己,那么我恨她。
如果她说我喜欢自己,那么我喜欢我自己。@@@如果她说我喜欢自己,那么我喜欢她。
如果她不喜欢我管自己的事,那么我管我自己的事。@@@如果她不喜欢我管自己的事,那么我管她的事。
如果她告诉别人我觉得自己明年可以考进好大学,那么我觉得我自己明年可以考进好大学。@@@如果她告诉别人我觉得自己明年可以考进好大学,那么我觉得她明年可以考进好大学。
如果她说我批评了自己,那么我批评了我自己。@@@如果她说我批评了自己,那么我批评了她。
如果她觉得我在批评自己,那么我在批评我自己。@@@如果她觉得我在批评自己,那么我在批评她。
如果她认为我知道自己的太太是一个好人,那么我知道我自己的太太是一个好人。@@@如果她认为我知道自己的太太是一个好人,那么我知道她的太太是一个好人。
如果她觉得我不喜欢自己,那么我不喜欢我自己。@@@如果她觉得我不喜欢自己,那么我不喜欢她。
如果他知道我经常批评自己,那么我经常批评我自己。@@@如果他知道我经常批评自己,那么我经常批评他。
如果他知道我把自己的书送给了朋友,那么我把我自己的书送给了朋友。@@@如果他知道我把自己的书送给了朋友,那么我把他的书送给了朋友。
如果他担心我会批评自己,那么我会批评我自己。@@@如果他担心我会批评自己,那么我会批评他。
如果他知道我害了自己,那么我害了我自己。@@@如果他知道我害了自己,那么我害了他。
如果他觉得我对自己没信心,那么我对我自己没信心。@@@如果他觉得我对自己没信心,那么我对他没信心。
如果他认为我的骄傲害了自己,那么我的骄傲害了我自己。@@@如果他认为我的骄傲害了自己,那么我的骄傲害了他。
如果他知道我告诉过他有关自己的工作,那么我告诉过他有关我自己的工作。@@@如果他知道我告诉过他有关自己的工作,那么我告诉过他有关他的工作。
如果他说我跟他谈过自己的事,那么我跟他谈过我自己的事。@@@如果他说我跟他谈过自己的事,那么我跟他谈过他的事。
如果他认为我从他那里听说了自己的分数,那么我从他那里听说了我自己的分数。@@@如果他认为我从他那里听说了自己的分数,那么我从他那里听说了他的分数。
如果他知道我在他家洗自己的照片,那么我在他家洗我自己的照片。@@@如果他知道我在他家洗自己的照片,那么我在他家洗他的照片。
如果他知道我的报告害了自己,那么我的报告害了我自己。@@@如果他知道我的报告害了自己,那么我的报告害了他。
如果他的话暗示我的信害了自己,那么我的信害了我自己。@@@如果他的话暗示我的信害了自己,那么我的信害了他。
如果他认为我恨自己,那么我恨我自己。@@@如果他认为我恨自己,那么我恨他。
如果他说我喜欢自己,那么我喜欢我自己。@@@如果他说我喜欢自己,那么我喜欢他。
如果他不喜欢我管自己的事,那么我管我自己的事。@@@如果他不喜欢我管自己的事,那么我管他的事。
如果他告诉别人我觉得自己明年可以考进好大学,那么我觉得我自己明年可以考进好大学。@@@如果他告诉别人我觉得自己明年可以考进好大学,那么我觉得他明年可以考进好大学。
如果他说我批评了自己,那么我批评了我自己。@@@如果他说我批评了自己,那么我批评了他。
如果他觉得我在批评自己,那么我在批评我自己。@@@如果他觉得我在批评自己,那么我在批评他。
如果他认为我知道自己的太太是一个好人,那么我知道我自己的太太是一个好人。@@@如果他认为我知道自己的太太是一个好人,那么我知道他的太太是一个好人。
如果他觉得我不喜欢自己,那么我不喜欢我自己。@@@如果他觉得我不喜欢自己,那么我不喜欢他。
