如果她说他诬陷自己,那么他诬陷她。@@@如果她说他诬陷自己,那么他诬陷他自己。
如果她说他离开自己,那么他离开她。@@@如果她说他离开自己,那么他离开他自己。
如果她说他打扰自己,那么他打扰她。@@@如果她说他打扰自己,那么他打扰他自己。
如果她说他拜访自己,那么他拜访她。@@@如果她说他拜访自己,那么他拜访他自己。
如果她说他偷听自己,那么他偷听她。@@@如果她说他偷听自己,那么他偷听他自己。
如果她说他暗恋自己,那么他暗恋她。@@@如果她说他暗恋自己,那么他暗恋他自己。
如果她说他邀请自己,那么他邀请她。@@@如果她说他邀请自己,那么他邀请他自己。
如果她说他嫉妒自己,那么他嫉妒她。@@@如果她说他嫉妒自己,那么他嫉妒他自己。
如果她说他羡慕自己,那么他羡慕她。@@@如果她说他羡慕自己,那么他羡慕他自己。
如果她说他搭讪自己,那么他搭讪她。@@@如果她说他搭讪自己,那么他搭讪他自己。
如果她说他监视自己,那么他监视她。@@@如果她说他监视自己,那么他监视他自己。
如果她说他吵醒自己,那么他吵醒她。@@@如果她说他吵醒自己,那么他吵醒他自己。
如果她说他激怒自己,那么他激怒她。@@@如果她说他激怒自己,那么他激怒他自己。
如果她说他模仿自己,那么他模仿她。@@@如果她说他模仿自己,那么他模仿他自己。
如果她说他欺负自己,那么他欺负她。@@@如果她说他欺负自己,那么他欺负他自己。
如果她说他追随自己,那么他追随她。@@@如果她说他追随自己,那么他追随他自己。
如果她说他仰慕自己,那么他仰慕她。@@@如果她说他仰慕自己,那么他仰慕他自己。
如果她说他靠近自己,那么他靠近她。@@@如果她说他靠近自己,那么他靠近他自己。
如果她说他干扰自己,那么他干扰她。@@@如果她说他干扰自己,那么他干扰他自己。
如果她说他接近自己,那么他接近她。@@@如果她说他接近自己,那么他接近他自己。
如果他说她诬陷自己,那么她诬陷他。@@@如果他说她诬陷自己,那么她诬陷她自己。
如果他说她离开自己,那么她离开他。@@@如果他说她离开自己,那么她离开她自己。
如果他说她打扰自己,那么她打扰他。@@@如果他说她打扰自己,那么她打扰她自己。
如果他说她拜访自己,那么她拜访他。@@@如果他说她拜访自己,那么她拜访她自己。
如果他说她偷听自己,那么她偷听他。@@@如果他说她偷听自己,那么她偷听她自己。
如果他说她暗恋自己,那么她暗恋他。@@@如果他说她暗恋自己,那么她暗恋她自己。
如果他说她邀请自己,那么她邀请他。@@@如果他说她邀请自己,那么她邀请她自己。
如果他说她嫉妒自己,那么她嫉妒他。@@@如果他说她嫉妒自己,那么她嫉妒她自己。
如果他说她羡慕自己,那么她羡慕他。@@@如果他说她羡慕自己,那么她羡慕她自己。
如果他说她搭讪自己,那么她搭讪他。@@@如果他说她搭讪自己,那么她搭讪她自己。
如果他说她监视自己,那么她监视他。@@@如果他说她监视自己,那么她监视她自己。
如果他说她吵醒自己,那么她吵醒他。@@@如果他说她吵醒自己,那么她吵醒她自己。
如果他说她激怒自己,那么她激怒他。@@@如果他说她激怒自己,那么她激怒她自己。
如果他说她模仿自己,那么她模仿他。@@@如果他说她模仿自己,那么她模仿她自己。
如果他说她欺负自己,那么她欺负他。@@@如果他说她欺负自己,那么她欺负她自己。
如果他说她追随自己,那么她追随他。@@@如果他说她追随自己,那么她追随她自己。
如果他说她仰慕自己,那么她仰慕他。@@@如果他说她仰慕自己,那么她仰慕她自己。
如果他说她靠近自己,那么她靠近他。@@@如果他说她靠近自己,那么她靠近她自己。
如果他说她干扰自己,那么她干扰他。@@@如果他说她干扰自己,那么她干扰她自己。
如果他说她接近自己,那么她接近他。@@@如果他说她接近自己,那么她接近她自己。
